VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
401,1879850034.6891532,6493097868.703642
402,3784484980.5011992,4542546524.304503
403,3648411951.5206547,3547510481.4883437
404,3471277413.906353,3153191778.0411425
405,3472762511.9012427,2665722586.1692953
406,3293625323.613714,2724549256.408449
407,3470163273.5017424,2043011611.62716
408,3468755891.5160036,1872871580.0740614
409,3468593547.2297854,1757252205.2334852
410,3706136110.489351,1793548538.475592
411,3423463111.1734433,2198137108.865539
412,2706760855.956895,2800477606.265031
413,2618818079.035948,2786931168.356682
414,2081662468.9314349,3355606886.1018434
415,1993879681.2231169,3420988380.5877104
416,1257685053.705106,15701730.185883412
417,1079971915.0669534,7887086.225408967
418,1035972003.932444,7886192.484098125
419,1035972011.7771413,7886636.798794891
420,1035972009.7355744,15701249.333064618
421,1038790997.6364326,18229346.97017244
422,1085612545.753494,30660072.922594607
423,1264752043.7144167,52204757.53101852
424,1547978445.5177333,4348070372.645874
425,1870059251.7850025,4527300118.135496
426,3778398696.6560135,2749791807.38599
427,3645653166.908055,2393890158.634973
428,3469271432.0440226,2135730003.766873
429,3469063741.4400997,1983455350.667764
430,3289965778.6620903,2257901213.4689207
431,3469269358.6454916,2167415136.579555
432,3469276454.44044,2169187381.9110355
433,3469483350.3230324,2301632511.414754
434,3707120988.135405,2372946073.4419427
435,3424052872.185445,2479859633.6012855
436,2706744084.7214165,2718003488.5079226
437,2618816951.202373,2738285947.854159
438,2081203274.5249696,3191855720.709018
439,1993316277.0306537,3234831060.9224515
440,1257685052.95471,15701367.174600378
441,1079971915.5339,7886649.999780798
442,1035972011.5727437,7887109.372978296
443,1038793349.7200884,28323517.0060157
444,1041619085.8130181,36623909.24367802
445,1043045254.641344,54983183.648682
446,1085637158.8987567,51255443.92150827
447,1264788390.388705,83133415.86135393
448,1547400582.4270036,4123383206.9743457
449,1869861067.3922355,4510422986.398255
450,3779154440.94405,3158528569.1019135
451,3646791199.793648,3021990957.9176683
452,3470477524.573673,2850232022.12878
453,3470217738.345253,2709616857.7727876
454,3290925865.065182,2809644173.5114923
455,3470084487.1162243,2628610262.470599
456,3470048457.674768,2597861749.084889
457,3470022390.9535975,2584628606.7079096
458,3707641816.5747175,2654700662.386657
459,3424876205.097027,2922299846.9686623
460,2707910114.041515,3306457923.893656
461,2620241376.111764,3445092498.9398146
462,2082555338.2825348,3730420643.56095
463,1995398142.623617,4129144966.988487
464,1257685051.5345445,7886790.8624520525
465,1084218343.5998476,32969284.244728327
466,1041674247.4169459,74978933.81523174
467,1043118587.7000201,95294482.31372072
468,1106588095.6162121,450681221.09016514
469,1099669200.574052,561783450.9514861
470,1156650593.4062624,849709331.6437187
471,1321770206.7721019,815573756.8802329
472,1553446323.8195405,5357527219.679485
473,1878618986.6576595,7305609310.023617
474,3786366235.2068906,5687622018.595369
475,3652821341.5264874,5207465779.218191
476,3475300315.9409547,4722048666.247311
477,3474119296.4943566,4330614001.086817
478,3294259094.9433794,4201997654.392621
479,3472772160.5832286,3650504982.2690177
